"","player_name","player_id","combWoba","combXwoba","combLaunch_angle","combLaunch_speed","combBatted_ball_direction_0","combBatted_ball_direction_1","combBatted_ball_direction_2"
"1","Torii Hunter","116338","0.342750593824228","0.327391923990499","10.0408551068884","87.9684085510689","145","173","103"
"2","David Ortiz","120074","0.435369636963696","0.473807480748075","16.2504950495049","92.9015401540154","409","327","173"
"3","Alex Rodriguez","121347","0.393994525547445","0.425879562043796","11.771897810219","90.8666058394161","209","227","112"
"4","Aramis Ramirez","133380","0.328033898305085","0.339452784503632","15.6808716707022","87.4418886198547","153","158","102"
"5","Adrian Beltre","134181","0.378378410438909","0.384407473309609","13.3362989323843","88.9544483985765","597","656","433"
"6","Carlos Beltran","136860","0.373214228617106","0.360999200639488","13.6356514788169","89.3605915267786","531","458","262"
"7","Jayson Werth","150029","0.361535211267606","0.39062558685446","15.106220657277","90.125234741784","327","299","226"
"8","Michael Cuddyer","150212","0.359736486486486","0.347743243243243","7.77635135135135","87.5932432432433","112","98","86"
"9","A.J. Pierzynski","150229","0.308180134680135","0.327952861952862","9.28771043771044","86.0806397306397","223","224","147"
"10","Jimmy Rollins","276519","0.296686486486486","0.289001801801802","14.0742342342342","84.5533333333333","253","184","118"
"11","Juan Uribe","346874","0.3342805907173","0.362198312236287","10.4099156118143","88.4430379746835","145","215","114"
"12","Ichiro Suzuki","400085","0.284758579881657","0.267530177514793","4.3985798816568","82.1749112426036","220","359","266"
"13","Victor Martinez","400121","0.321842918985776","0.370298082869511","14.447742733457","88.5256029684601","660","565","392"
"14","Chase Utley","400284","0.310332451499118","0.335247795414462","12.0985890652557","87.3669312169312","444","445","245"
"15","Albert Pujols","405395","0.332852851323829","0.37916700610998","13.3575865580448","90.2711812627291","829","756","379"
"16","Marlon Byrd","407781","0.415681614349776","0.389789237668161","12.7367713004484","86.6408071748879","158","160","128"
"17","Matt Holliday","407812","0.373243243243243","0.390235872235872","9.65995085995086","91.1346437346437","260","314","240"
"18","Mark Teixeira","407893","0.377818791946309","0.393355704697987","13.9484899328859","88.9469798657718","300","183","113"
"19","Joe Mauer","408045","0.345251864601262","0.391065978198508","4.44985656913368","89.8830177854274","442","688","613"
"20","Justin Morneau","408047","0.386466216216216","0.354682432432432","9.16013513513514","89.5263513513513","102","114","80"
"21","Miguel Cabrera","408234","0.423254796623177","0.494766692248657","11.8199539524175","93.0169608595549","420","491","392"
"22","Adrian Gonzalez","408236","0.367371141975309","0.393814043209877","12.1474537037037","88.154475308642","481","463","352"
"23","Brandon Phillips","408252","0.337331592689295","0.328201044386423","9.24046997389034","85.523498694517","468","584","480"
"24","Omar Infante","408299","0.271461538461538","0.280704453441296","13.2157894736842","83.6283400809717","200","194","100"
"25","Carl Crawford","408307","0.305804545454545","0.349054545454546","6.40863636363636","88.2440909090909","69","81","70"
"26","Jose Reyes","408314","0.318554675118859","0.288784469096672","13.7310618066561","83.711410459588","489","478","295"
"27","David Ross","424325","0.353773109243697","0.373609243697479","15.4021008403361","85.2533613445378","92","83","63"
"28","Coco Crisp","424825","0.300682634730539","0.305203592814371","12.0736526946108","84.1966067864272","214","168","119"
"29","Jhonny Peralta","425509","0.348109354413702","0.377021080368906","12.9812911725955","87.8527009222661","313","267","179"
"30","Adam LaRoche","425560","0.337124161073825","0.371476510067114","13.4281879194631","89.1838926174497","112","123","63"
"31","Alex Rios","425567","0.315232044198895","0.335066298342541","15.167955801105","88.7475138121547","144","142","76"
"32","James Loney","425766","0.307777777777778","0.321640062597809","12.2957746478873","86.3737089201878","227","218","194"
"33","Jeff Mathis","425772","0.313503512880562","0.308569086651054","13.0686182669789","86.2632318501171","162","162","103"
"34","Shin-Soo Choo","425783","0.398873290136789","0.423948884089273","7.18596112311015","89.332181425486","530","533","326"
"35","Rene Rivera","425784","0.343942549371634","0.377315978456014","14.3561938958707","86.0881508078995","208","187","162"
"36","Jeff Francoeur","425796","0.378331923890063","0.362109936575053","11.3454545454545","87.8090909090909","179","196","98"
"37","Melvin Upton Jr.","425834","0.398725252525253","0.385846464646465","9.47333333333333","87.5745454545455","185","169","141"
"38","Zack Greinke","425844","0.272","0.327155251141553","3.65570776255708","81.589497716895","67","87","65"
"39","Yadier Molina","425877","0.334233751425314","0.348407069555302","12.1466362599772","87.4486887115165","662","642","450"
"40","Dioner Navarro","425900","0.298121827411168","0.310832487309645","16.9827411167513","85.4253807106599","152","148","94"
"41","Prince Fielder","425902","0.344968019680197","0.363713407134071","9.95350553505535","90.1020910209102","282","310","221"
